rank,latitude,longitude,ml_probability,on_triassic,dist_to_triassic_m,formation_code,formation_name,rock_type,geo_bonus,composite_score,priority,elevation_m,slope_deg,aspect_deg,tri,tpi_15m,tpi_adj,composite_v2,rank_v2,rank_v1,rank_delta,tpi,v3_score,submodel,v3_rank
4,39.15916666367088,-118.86083333422056,0.83943707,False,124118,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8394,15,1528.432861328125,12.362524032592773,184.28907775878906,14.662322998046875,-14.1707763671875,0.0,0.8394,20,15,-5,-1.8616943359375,0.18518734490234035,south,35
14,39.15916666367088,-118.86055555644248,0.80088222,False,124101,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8009,25,1528.432861328125,12.362524032592773,184.28907775878906,14.662322998046875,-14.58154296875,0.0,0.8009,28,25,-3,-1.8616943359375,0.18518734490234035,south,36
3,40.434444443966186,-117.68666666629083,0.84231639,False,4781,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.05,0.8923,4,1539.8145751953125,6.236759185791016,161.1311492919922,8.436248779296875,6.7947998046875,-0.05,0.8422999999999999,18,4,-14,3.3148193359375,0.17792680095206767,north,37
21,38.43222221779138,-118.56666666723748,0.79610622,False,159055,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7961,30,1681.663818359375,20.4337100982666,194.35391235351562,21.276168823242188,108.2032470703125,0.0,0.7961,33,30,-3,3.031982421875,0.15120565879819647,south,38
32,39.1827777748286,-118.53250000053404,0.79341787,False,99885,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7934,38,1698.989501953125,30.70819664001465,227.20677185058594,40.400482177734375,70.6500244140625,0.0,0.7934,41,38,-3,-0.29443359375,0.14242584897064173,south,39
5,38.458888884510685,-118.39972222261343,0.83049053,False,148217,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8305,17,1745.3056640625,10.654472351074219,182.15762329101562,12.457351684570312,-37.9306640625,0.0,0.8305,22,17,-5,0.6727294921875,0.13866028102227873,south,40
44,38.458888884510685,-118.39944444483535,0.78983712,False,148203,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7898,45,1745.3056640625,10.654472351074219,182.15762329101562,12.457351684570312,-38.1685791015625,0.0,0.7898,46,45,-1,0.6727294921875,0.13866028102227873,south,41
25,38.458888884510685,-118.40000000039151,0.79558283,False,148230,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7956,32,1745.3056640625,10.654472351074219,182.15762329101562,12.457351684570312,-37.7158203125,0.0,0.7956,36,32,-4,0.6727294921875,0.13866028102227873,south,42
20,39.18361110816358,-118.8083333341641,0.79725087,False,119056,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7973,28,1586.8958740234375,10.58890438079834,179.08895874023438,12.306427001953125,-31.963134765625,0.0,0.7973,31,28,-3,-4.2445068359375,0.13499220192346498,south,43
10,39.15916666367088,-118.86111111199864,0.81427044,False,124134,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8143,21,1526.2568359375,11.198378562927246,183.3146514892578,13.759674072265625,-13.7059326171875,0.0,0.8143,24,21,-3,-2.66650390625,0.10875838000825155,south,44
22,38.701388884989406,-118.79138888970142,0.79598647,False,149801,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.796,31,1702.0216064453125,36.59035110473633,182.52720642089844,50.17939758300781,54.306884765625,0.0,0.796,34,31,-3,-0.3695068359375,0.09507178248293896,south,45
47,39.22138888601594,-118.3586111114581,0.78885204,False,84747,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.7889,48,1707.5931396484375,16.086376190185547,205.51608276367188,32.953826904296875,86.1834716796875,0.0,0.7889,50,48,-2,25.63525390625,0.07747201751172414,south,46
46,38.57583332918599,-118.40527777817496,0.78896171,False,137859,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.789,47,1706.9810791015625,30.319929122924805,233.6169891357422,43.040130615234375,93.465576171875,0.0,0.789,49,47,-2,9.7991943359375,0.07449636787980278,south,47
13,38.7247222183688,-118.9436111120874,0.80345458,False,158109,TRc,"Limestone, minor amounts of dolomite, shale, and sandstone; locally thick conglomerate units",limestone,0.0,0.8035,24,1548.7491455078125,5.744492530822754,195.43812561035156,7.4119720458984375,2.1385498046875,0.0,0.8035,27,24,-3,-3.4462890625,0.06519902557609027,south,48
