oid,cid,idn,tna,rnk,tid,oei,eag,lag,rid,lng,lat,phl,phn,cll,cln,odl,odn,fml,fmn,gnl,gnn,idg,rsg,ids,rss,env,sfm,cxi,ref,query_taxon,tec,gcm,smb,oli,sgr,tdf,iid,idr
occ:1417529,col:196200,Cymbospondylus nichollsi n. sp.,Cymbospondylus nichollsi,3,txn:263055,Anisian,246.7,241.464,ref:66739,-117.539444,40.001389,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,nichollsi,n. sp.,marine indet.,Favret,139,"N. B. Fröbisch, P. M. Sander, and O. Rieppel. 2006. A new species of Cymbospondylus (Diapsida, Ichthyosauria) from the Middle Triassic of Nevada and a re-evaluation of the skull osteology of the genus. Zoological Journal of the Linnean Society 147(4):515-538",Ichthyosauria,,,Fossil Hill,,,,,
occ:1419019,col:196634,Omphalosaurus nettarhynchus n. sp.,Omphalosaurus nettarhynchus,3,txn:176045,Spathian,248.1,246.7,ref:66896,-118.126663,40.508610,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Omphalosauridae,txn:38873,Omphalosaurus,txn:36565,Omphalosaurus,,nettarhynchus,n. sp.,marine indet.,Prida,652,"J.-M. Mazin and H. F. R. Bucher. 1987. [(Omphalosaurus nettarhynchus, a new Omphalosaurid species (Reptilia, Ichthyopterygia) from the Spathian of the Humboldt Range, Nevada, USA)]. Comptes rendus de l'Académie des sciences. Série 2, Mécanique, Physique, Chimie, Sciences de l'univers, Sciences de la Terre 305(9):823-828",Ichthyosauria,,,,,,,,
occ:1419160,col:98011,Mixosaurus callawayi n. sp.,Phalarodon callawayi,3,txn:258580,Illyrian,243.33,241.464,ref:66919,-117.566666,40.033333,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Mixosauridae,txn:38875,Phalarodon,txn:36568,Mixosaurus,,callawayi,n. sp.,marginal marine indet.,Favret,139,"L. Schmitz, P. M. Sander, and G. W. Storrs, O. Rieppel. 2004. New Mixosauridae (Ichthyosauria) from the Middle Triassic of the Augusta Moutnains (Nevada, USA) and their implications for mixosaur taxonomy. Palaeontographica Abteilung A 270:133-162",Ichthyosauria,,,Fossil Hill,,Star Peak,recombined as,var:258580,
occ:1419479,col:102368,Shonisaurus mulleri n. sp.,Shonisaurus,5,txn:36572,Lacian,227.3,215.38,ref:67019,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,mulleri,n. sp.,open shallow subtidal,Luning,136,J. M. Mazin and P. M. Sander. 1993. Palaeobiogeography of the Early and Late Triassic ichthyopterygia. Paleontologia Lombarda 2:93-107,Ichthyosauria,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,species not entered,txn:377583,3.0
occ:1419480,col:102368,Shonisaurus silberlingi n. sp.,Shonisaurus,5,txn:36572,Lacian,227.3,215.38,ref:67019,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,silberlingi,n. sp.,open shallow subtidal,Luning,136,J. M. Mazin and P. M. Sander. 1993. Palaeobiogeography of the Early and Late Triassic ichthyopterygia. Paleontologia Lombarda 2:93-107,Ichthyosauria,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,species not entered,txn:377584,3.0
occ:1504406,col:209724,Cymbospondylus duelferi n. sp.,Cymbospondylus duelferi,3,txn:418928,Illyrian,243.33,241.464,ref:72341,-117.558891,40.059166,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Cymbospondylidae,txn:163951,Cymbospondylus,txn:36550,Cymbospondylus,,duelferi,n. sp.,marine indet.,Favret,139,"N. Klein, L. Schmitz, and T. Wintrich, P. M. Sander. 2020. A new cymbospondylid ichthyosaur (Ichthyosauria) from the Middle Triassic (Anisian) of the Augusta Mountains, Nevada, USA. Journal of Systematic Palaeontology",Ichthyosauria,,,Fossil Hill,,Star Peak,,,
occ:1583679,col:211747,Ichthyosauridae indet.,Ichthyosauridae,9,txn:38877,Spathian,248.1,246.7,ref:78766,-114.306946,41.272499,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Ichthyosauridae,txn:38877,,,Ichthyosauridae,,indet.,,offshore indet.,,652,"C. P. A. Smith, T. Laville, and E. Fara, G. Escarguel, N. Olivier, E. Vennin, N. Goudemand, K. G. Bylund, J. F. Jenks, D. A. Stephen, M. Hautmann, S. Charbonnier, L. J. Krumenacker, A. Brayard. 2021. Exceptional fossil assemblages confirm the existence of complex Early Triassic ecosystems during the early Spathian. Scientific Reports 11(19657)",Ichthyosauria,,"deeper offshore, mid to outer platform",,,,,,
occ:908629,col:102368,,Shonisaurus popularis,3,txn:170857,Lacian,227.3,215.38,ref:34761,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,popularis,,open shallow subtidal,Luning,136,"J. A. Hogler and R. A. Hanger. 1989. A new condrophorine (Hydrozoa, Velellidae) from the Upper Triassic of Nevada. Journal of Paleontology 63(2):249-251",Shonisaurus,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,,,
occ:1419479,col:102368,Shonisaurus mulleri n. sp.,Shonisaurus,5,txn:36572,Lacian,227.3,215.38,ref:67019,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,mulleri,n. sp.,open shallow subtidal,Luning,136,J. M. Mazin and P. M. Sander. 1993. Palaeobiogeography of the Early and Late Triassic ichthyopterygia. Paleontologia Lombarda 2:93-107,Shonisaurus,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,species not entered,txn:377583,3.0
occ:1419480,col:102368,Shonisaurus silberlingi n. sp.,Shonisaurus,5,txn:36572,Lacian,227.3,215.38,ref:67019,-117.591393,38.876667,Chordata,txn:33815,Reptilia,txn:36322,Ichthyosauria,txn:36543,Shastasauridae,txn:38876,Shonisaurus,txn:36572,Shonisaurus,,silberlingi,n. sp.,open shallow subtidal,Luning,136,J. M. Mazin and P. M. Sander. 1993. Palaeobiogeography of the Early and Late Triassic ichthyopterygia. Paleontologia Lombarda 2:93-107,Shonisaurus,,"""These sediments appear to represent an early transgressive episode in a now dismembered, shallow marine basin of at least Late Triassic (Karnian) through Early Jurassic (Toarcian) age (Oldow, 1981).""",,,,species not entered,txn:377584,3.0
